year,week,trends_dengue,region
2023,1,2,Buenos Aires
2023,2,2,Buenos Aires
2023,3,2,Buenos Aires
2023,4,4,Buenos Aires
2023,5,4,Buenos Aires
2023,6,4,Buenos Aires
2023,7,5,Buenos Aires
2023,8,6,Buenos Aires
2023,9,8,Buenos Aires
2023,10,13,Buenos Aires
2023,11,33,Buenos Aires
2023,12,92,Buenos Aires
2023,13,87,Buenos Aires
2023,14,100,Buenos Aires
2023,15,95,Buenos Aires
2023,16,81,Buenos Aires
2023,17,48,Buenos Aires
2023,18,31,Buenos Aires
2023,19,28,Buenos Aires
2023,20,17,Buenos Aires
2023,21,17,Buenos Aires
2023,22,15,Buenos Aires
2023,23,9,Buenos Aires
2023,24,7,Buenos Aires
2023,25,7,Buenos Aires
2023,26,5,Buenos Aires
2023,27,3,Buenos Aires
2023,28,2,Buenos Aires
2023,29,2,Buenos Aires
2023,30,3,Buenos Aires
2023,31,3,Buenos Aires
2023,32,3,Buenos Aires
2023,33,3,Buenos Aires
2023,34,3,Buenos Aires
2023,35,2,Buenos Aires
2023,36,3,Buenos Aires
2023,37,2,Buenos Aires
2023,38,2,Buenos Aires
2023,39,2,Buenos Aires
2023,40,3,Buenos Aires
2023,41,4,Buenos Aires
2023,42,3,Buenos Aires
2023,43,4,Buenos Aires
2023,44,6,Buenos Aires
2023,45,9,Buenos Aires
2023,46,8,Buenos Aires
2023,47,9,Buenos Aires
2023,48,7,Buenos Aires
2023,49,9,Buenos Aires
2023,50,9,Buenos Aires
2023,51,37,Buenos Aires
2023,52,57,Buenos Aires
