year,week,trends_dengue,region
2021,1,83,Buenos Aires
2021,2,87,Buenos Aires
2021,3,86,Buenos Aires
2021,4,51,Buenos Aires
2021,5,67,Buenos Aires
2021,6,95,Buenos Aires
2021,7,100,Buenos Aires
2021,8,82,Buenos Aires
2021,9,61,Buenos Aires
2021,10,64,Buenos Aires
2021,11,58,Buenos Aires
2021,12,57,Buenos Aires
2021,13,82,Buenos Aires
2021,14,90,Buenos Aires
2021,15,64,Buenos Aires
2021,16,63,Buenos Aires
2021,17,48,Buenos Aires
2021,18,44,Buenos Aires
2021,19,35,Buenos Aires
2021,20,28,Buenos Aires
2021,21,30,Buenos Aires
2021,22,31,Buenos Aires
2021,23,29,Buenos Aires
2021,24,20,Buenos Aires
2021,25,23,Buenos Aires
2021,26,21,Buenos Aires
2021,27,12,Buenos Aires
2021,28,11,Buenos Aires
2021,29,6,Buenos Aires
2021,30,18,Buenos Aires
2021,31,15,Buenos Aires
2021,32,16,Buenos Aires
2021,33,19,Buenos Aires
2021,34,17,Buenos Aires
2021,35,13,Buenos Aires
2021,36,12,Buenos Aires
2021,37,13,Buenos Aires
2021,38,14,Buenos Aires
2021,39,16,Buenos Aires
2021,40,25,Buenos Aires
2021,41,19,Buenos Aires
2021,42,21,Buenos Aires
2021,43,17,Buenos Aires
2021,44,29,Buenos Aires
2021,45,19,Buenos Aires
2021,46,23,Buenos Aires
2021,47,24,Buenos Aires
2021,48,24,Buenos Aires
2021,49,22,Buenos Aires
2021,50,26,Buenos Aires
2021,51,30,Buenos Aires
2021,52,56,Buenos Aires
