year,week,trends_dengue,region
2020,1,2,CABA
2020,2,3,CABA
2020,3,6,CABA
2020,4,4,CABA
2020,5,5,CABA
2020,6,7,CABA
2020,7,11,CABA
2020,8,22,CABA
2020,9,74,CABA
2020,10,100,CABA
2020,11,77,CABA
2020,12,52,CABA
2020,13,46,CABA
2020,14,47,CABA
2020,15,43,CABA
2020,16,40,CABA
2020,17,37,CABA
2020,18,25,CABA
2020,19,23,CABA
2020,20,22,CABA
2020,21,14,CABA
2020,22,9,CABA
2020,23,9,CABA
2020,24,6,CABA
2020,25,5,CABA
2020,26,3,CABA
2020,27,5,CABA
2020,28,3,CABA
2020,29,3,CABA
2020,30,2,CABA
2020,31,2,CABA
2020,32,2,CABA
2020,33,1,CABA
2020,34,2,CABA
2020,35,1,CABA
2020,36,1,CABA
2020,37,2,CABA
2020,38,2,CABA
2020,39,2,CABA
2020,40,1,CABA
2020,41,2,CABA
2020,42,2,CABA
2020,43,2,CABA
2020,44,2,CABA
2020,45,2,CABA
2020,46,3,CABA
2020,47,2,CABA
2020,48,2,CABA
2020,49,3,CABA
2020,50,3,CABA
2020,51,3,CABA
2020,52,4,CABA
