year,week,trends_dengue,region
2025,1,88,Buenos Aires
2025,2,69,Buenos Aires
2025,3,63,Buenos Aires
2025,4,61,Buenos Aires
2025,5,55,Buenos Aires
2025,6,41,Buenos Aires
2025,7,70,Buenos Aires
2025,8,70,Buenos Aires
2025,9,68,Buenos Aires
2025,10,81,Buenos Aires
2025,11,100,Buenos Aires
2025,12,73,Buenos Aires
2025,13,50,Buenos Aires
2025,14,53,Buenos Aires
2025,15,29,Buenos Aires
2025,16,49,Buenos Aires
2025,17,41,Buenos Aires
2025,18,39,Buenos Aires
2025,19,41,Buenos Aires
2025,20,33,Buenos Aires
2025,21,29,Buenos Aires
2025,22,28,Buenos Aires
