year,week,trends_dengue,region
2024,1,8,Buenos Aires
2024,2,6,Buenos Aires
2024,3,7,Buenos Aires
2024,4,6,Buenos Aires
2024,5,6,Buenos Aires
2024,6,10,Buenos Aires
2024,7,35,Buenos Aires
2024,8,41,Buenos Aires
2024,9,40,Buenos Aires
2024,10,48,Buenos Aires
2024,11,69,Buenos Aires
2024,12,100,Buenos Aires
2024,13,72,Buenos Aires
2024,14,42,Buenos Aires
2024,15,22,Buenos Aires
2024,16,16,Buenos Aires
2024,17,12,Buenos Aires
2024,18,12,Buenos Aires
2024,19,9,Buenos Aires
2024,20,7,Buenos Aires
2024,21,6,Buenos Aires
2024,22,4,Buenos Aires
2024,23,3,Buenos Aires
2024,24,2,Buenos Aires
2024,25,2,Buenos Aires
2024,26,2,Buenos Aires
2024,27,1,Buenos Aires
2024,28,1,Buenos Aires
2024,29,1,Buenos Aires
2024,30,1,Buenos Aires
2024,31,1,Buenos Aires
2024,32,1,Buenos Aires
2024,33,3,Buenos Aires
2024,34,3,Buenos Aires
2024,35,5,Buenos Aires
2024,36,7,Buenos Aires
2024,37,9,Buenos Aires
2024,38,10,Buenos Aires
2024,39,9,Buenos Aires
2024,40,4,Buenos Aires
2024,41,6,Buenos Aires
2024,42,9,Buenos Aires
2024,43,6,Buenos Aires
2024,44,5,Buenos Aires
2024,45,5,Buenos Aires
2024,46,4,Buenos Aires
2024,47,5,Buenos Aires
2024,48,3,Buenos Aires
2024,49,3,Buenos Aires
2024,50,3,Buenos Aires
2024,51,3,Buenos Aires
2024,52,3,Buenos Aires
