year,week,trends_dengue,region
2024,1,11,CABA
2024,2,9,CABA
2024,3,9,CABA
2024,4,8,CABA
2024,5,8,CABA
2024,6,11,CABA
2024,7,37,CABA
2024,8,42,CABA
2024,9,40,CABA
2024,10,45,CABA
2024,11,68,CABA
2024,12,100,CABA
2024,13,85,CABA
2024,14,44,CABA
2024,15,25,CABA
2024,16,18,CABA
2024,17,14,CABA
2024,18,15,CABA
2024,19,10,CABA
2024,20,8,CABA
2024,21,6,CABA
2024,22,4,CABA
2024,23,3,CABA
2024,24,3,CABA
2024,25,2,CABA
2024,26,2,CABA
2024,27,1,CABA
2024,28,1,CABA
2024,29,2,CABA
2024,30,2,CABA
2024,31,2,CABA
2024,32,2,CABA
2024,33,5,CABA
2024,34,6,CABA
2024,35,9,CABA
2024,36,17,CABA
2024,37,24,CABA
2024,38,35,CABA
2024,39,22,CABA
2024,40,12,CABA
2024,41,12,CABA
2024,42,16,CABA
2024,43,13,CABA
2024,44,10,CABA
2024,45,8,CABA
2024,46,8,CABA
2024,47,9,CABA
2024,48,7,CABA
2024,49,8,CABA
2024,50,7,CABA
2024,51,9,CABA
2024,52,8,CABA
