year,week,trends_dengue,region
2022,1,74,Buenos Aires
2022,2,57,Buenos Aires
2022,3,67,Buenos Aires
2022,4,100,Buenos Aires
2022,5,92,Buenos Aires
2022,6,65,Buenos Aires
2022,7,52,Buenos Aires
2022,8,52,Buenos Aires
2022,9,81,Buenos Aires
2022,10,99,Buenos Aires
2022,11,48,Buenos Aires
2022,12,60,Buenos Aires
2022,13,58,Buenos Aires
2022,14,58,Buenos Aires
2022,15,71,Buenos Aires
2022,16,55,Buenos Aires
2022,17,62,Buenos Aires
2022,18,54,Buenos Aires
2022,19,46,Buenos Aires
2022,20,27,Buenos Aires
2022,21,35,Buenos Aires
2022,22,47,Buenos Aires
2022,23,36,Buenos Aires
2022,24,28,Buenos Aires
2022,25,38,Buenos Aires
2022,26,28,Buenos Aires
2022,27,28,Buenos Aires
2022,28,12,Buenos Aires
2022,29,0,Buenos Aires
2022,30,18,Buenos Aires
2022,31,24,Buenos Aires
2022,32,21,Buenos Aires
2022,33,42,Buenos Aires
2022,34,21,Buenos Aires
2022,35,24,Buenos Aires
2022,36,27,Buenos Aires
2022,37,27,Buenos Aires
2022,38,27,Buenos Aires
2022,39,33,Buenos Aires
2022,40,28,Buenos Aires
2022,41,29,Buenos Aires
2022,42,23,Buenos Aires
2022,43,34,Buenos Aires
2022,44,33,Buenos Aires
2022,45,32,Buenos Aires
2022,46,34,Buenos Aires
2022,47,25,Buenos Aires
2022,48,31,Buenos Aires
2022,49,32,Buenos Aires
2022,50,24,Buenos Aires
2022,51,31,Buenos Aires
2022,52,77,Buenos Aires
