year,week,trends_dengue,region
2023,1,2,CABA
2023,2,2,CABA
2023,3,3,CABA
2023,4,2,CABA
2023,5,4,CABA
2023,6,3,CABA
2023,7,4,CABA
2023,8,5,CABA
2023,9,7,CABA
2023,10,12,CABA
2023,11,41,CABA
2023,12,100,CABA
2023,13,80,CABA
2023,14,88,CABA
2023,15,72,CABA
2023,16,53,CABA
2023,17,30,CABA
2023,18,18,CABA
2023,19,17,CABA
2023,20,13,CABA
2023,21,9,CABA
2023,22,8,CABA
2023,23,5,CABA
2023,24,3,CABA
2023,25,3,CABA
2023,26,2,CABA
2023,27,2,CABA
2023,28,2,CABA
2023,29,2,CABA
2023,30,2,CABA
2023,31,1,CABA
2023,32,1,CABA
2023,33,2,CABA
2023,34,1,CABA
2023,35,2,CABA
2023,36,2,CABA
2023,37,2,CABA
2023,38,2,CABA
2023,39,2,CABA
2023,40,3,CABA
2023,41,2,CABA
2023,42,2,CABA
2023,43,5,CABA
2023,44,10,CABA
2023,45,10,CABA
2023,46,10,CABA
2023,47,10,CABA
2023,48,9,CABA
2023,49,9,CABA
2023,50,8,CABA
2023,51,32,CABA
2023,52,46,CABA
