year,week,trends_dengue,region
2021,1,65,CABA
2021,2,91,CABA
2021,3,80,CABA
2021,4,56,CABA
2021,5,100,CABA
2021,6,83,CABA
2021,7,67,CABA
2021,8,51,CABA
2021,9,54,CABA
2021,10,52,CABA
2021,11,34,CABA
2021,12,35,CABA
2021,13,65,CABA
2021,14,68,CABA
2021,15,49,CABA
2021,16,51,CABA
2021,17,21,CABA
2021,18,19,CABA
2021,19,18,CABA
2021,20,16,CABA
2021,21,19,CABA
2021,22,18,CABA
2021,23,17,CABA
2021,24,15,CABA
2021,25,13,CABA
2021,26,9,CABA
2021,27,16,CABA
2021,28,0,CABA
2021,29,0,CABA
2021,30,0,CABA
2021,31,10,CABA
2021,32,11,CABA
2021,33,19,CABA
2021,34,12,CABA
2021,35,9,CABA
2021,36,11,CABA
2021,37,11,CABA
2021,38,0,CABA
2021,39,18,CABA
2021,40,12,CABA
2021,41,18,CABA
2021,42,18,CABA
2021,43,9,CABA
2021,44,18,CABA
2021,45,14,CABA
2021,46,20,CABA
2021,47,14,CABA
2021,48,10,CABA
2021,49,13,CABA
2021,50,16,CABA
2021,51,15,CABA
2021,52,28,CABA
