year,week,trends_dengue,region
2022,1,82,CABA
2022,2,69,CABA
2022,3,82,CABA
2022,4,100,CABA
2022,5,67,CABA
2022,6,64,CABA
2022,7,46,CABA
2022,8,76,CABA
2022,9,59,CABA
2022,10,51,CABA
2022,11,40,CABA
2022,12,32,CABA
2022,13,42,CABA
2022,14,48,CABA
2022,15,33,CABA
2022,16,29,CABA
2022,17,40,CABA
2022,18,27,CABA
2022,19,40,CABA
2022,20,18,CABA
2022,21,16,CABA
2022,22,19,CABA
2022,23,14,CABA
2022,24,0,CABA
2022,25,23,CABA
2022,26,15,CABA
2022,27,0,CABA
2022,28,0,CABA
2022,29,22,CABA
2022,30,16,CABA
2022,31,14,CABA
2022,32,16,CABA
2022,33,17,CABA
2022,34,18,CABA
2022,35,18,CABA
2022,36,25,CABA
2022,37,20,CABA
2022,38,19,CABA
2022,39,26,CABA
2022,40,17,CABA
2022,41,22,CABA
2022,42,27,CABA
2022,43,28,CABA
2022,44,33,CABA
2022,45,30,CABA
2022,46,28,CABA
2022,47,34,CABA
2022,48,22,CABA
2022,49,31,CABA
2022,50,27,CABA
2022,51,25,CABA
2022,52,28,CABA
