year,week,trends_dengue,region
2020,1,2,Buenos Aires
2020,2,2,Buenos Aires
2020,3,4,Buenos Aires
2020,4,3,Buenos Aires
2020,5,4,Buenos Aires
2020,6,4,Buenos Aires
2020,7,7,Buenos Aires
2020,8,21,Buenos Aires
2020,9,68,Buenos Aires
2020,10,100,Buenos Aires
2020,11,77,Buenos Aires
2020,12,59,Buenos Aires
2020,13,40,Buenos Aires
2020,14,29,Buenos Aires
2020,15,26,Buenos Aires
2020,16,23,Buenos Aires
2020,17,22,Buenos Aires
2020,18,17,Buenos Aires
2020,19,14,Buenos Aires
2020,20,14,Buenos Aires
2020,21,10,Buenos Aires
2020,22,7,Buenos Aires
2020,23,8,Buenos Aires
2020,24,5,Buenos Aires
2020,25,4,Buenos Aires
2020,26,3,Buenos Aires
2020,27,5,Buenos Aires
2020,28,3,Buenos Aires
2020,29,2,Buenos Aires
2020,30,2,Buenos Aires
2020,31,2,Buenos Aires
2020,32,2,Buenos Aires
2020,33,2,Buenos Aires
2020,34,2,Buenos Aires
2020,35,1,Buenos Aires
2020,36,1,Buenos Aires
2020,37,1,Buenos Aires
2020,38,2,Buenos Aires
2020,39,1,Buenos Aires
2020,40,1,Buenos Aires
2020,41,1,Buenos Aires
2020,42,2,Buenos Aires
2020,43,2,Buenos Aires
2020,44,2,Buenos Aires
2020,45,2,Buenos Aires
2020,46,3,Buenos Aires
2020,47,2,Buenos Aires
2020,48,2,Buenos Aires
2020,49,2,Buenos Aires
2020,50,2,Buenos Aires
2020,51,2,Buenos Aires
2020,52,3,Buenos Aires
