department_id,department_name,sup_km2,total_pobl
1,Comuna 1,17.9,223554
2,Comuna 2,6.3,161645
3,Comuna 3,6.4,196240
4,Comuna 4,22.7,229240
5,Comuna 5,6.7,194271
6,Comuna 6,6.9,203043
7,Comuna 7,12.4,215896
8,Comuna 8,22.5,204367
9,Comuna 9,16.6,169063
10,Comuna 10,12.6,173004
11,Comuna 11,14.1,204601
12,Comuna 12,15.7,236887
13,Comuna 13,15.0,264385
14,Comuna 14,15.9,248635
15,Comuna 15,14.3,196876
