year,week,departament_name,departament_id,province,trends_dengue,prec_2weeks,temp_2weeks_avg,humd_2weeks_avg,target_cases,sup_km2,total_pobl
2018,5,COMUNA 9,9,CABA,26.0,12.4,25.16,60.7,1,16.6,169063
2018,6,COMUNA 4,4,CABA,31.0,8.43,25.96,55.62,2,22.7,229240
2018,7,Avellaneda,17,Buenos Aires,39.0,55.63,25.69,64.48,2,56.0,367554
2018,8,COMUNA 3,3,CABA,39.0,40.1,25.04,55.81,1,6.4,196240
2018,8,COMUNA 4,4,CABA,39.0,40.1,25.04,55.81,2,22.7,229240
2018,9,Avellaneda,17,Buenos Aires,56.0,14.88,23.91,66.26,3,56.0,367554
2018,9,La Matanza,35,Buenos Aires,56.0,20.44,23.4,61.7,2,327.0,1841247
2018,9,Morón,44,Buenos Aires,56.0,20.44,23.4,61.7,1,55.0,331183
2018,9,COMUNA 15,15,CABA,45.0,20.44,23.4,61.7,1,14.3,196876
2018,9,COMUNA 3,3,CABA,45.0,20.44,23.4,61.7,3,6.4,196240
2018,9,COMUNA 4,4,CABA,45.0,20.44,23.4,61.7,1,22.7,229240
2018,10,Avellaneda,17,Buenos Aires,44.0,13.01,24.31,69.23,2,56.0,367554
2018,10,Florencio Varela,28,Buenos Aires,44.0,22.13,23.71,67.0,1,190.0,496433
2018,10,Lanús,36,Buenos Aires,44.0,13.01,24.31,69.23,2,50.0,461267
2018,10,MERLO,43,Buenos Aires,44.0,18.28,24.39,63.05,2,174.0,582486
2018,10,Morón,44,Buenos Aires,44.0,18.28,24.39,63.05,3,55.0,331183
2018,10,COMUNA 2,2,CABA,39.0,18.28,24.39,63.05,1,6.3,161645
2018,10,COMUNA 3,3,CABA,39.0,18.28,24.39,63.05,1,6.4,196240
2018,10,COMUNA 4,4,CABA,39.0,18.28,24.39,63.05,3,22.7,229240
2018,11,Avellaneda,17,Buenos Aires,61.0,0.89,24.23,63.62,5,56.0,367554
2018,11,Berazategui,18,Buenos Aires,61.0,1.83,23.62,60.17,1,220.0,358712
2018,11,Ezeiza,27,Buenos Aires,61.0,2.32,23.89,55.78,1,238.0,201511
2018,11,General San Martin,31,Buenos Aires,61.0,,,,1,57.0,450518
2018,11,Ituzaingó,33,Buenos Aires,61.0,1.52,24.35,54.48,1,38.0,180232
2018,11,LOMAS DE ZAMORA,38,Buenos Aires,61.0,0.89,24.23,63.62,2,89.0,690480
2018,11,La Matanza,35,Buenos Aires,61.0,1.52,24.35,54.48,1,327.0,1841247
2018,11,Morón,44,Buenos Aires,61.0,1.52,24.35,54.48,1,55.0,331183
2018,11,COMUNA 12,12,CABA,44.0,1.52,24.35,54.48,2,15.7,236887
2018,11,COMUNA 3,3,CABA,44.0,1.52,24.35,54.48,2,6.4,196240
2018,11,COMUNA 4,4,CABA,44.0,1.52,24.35,54.48,1,22.7,229240
2018,11,COMUNA 5,5,CABA,44.0,1.52,24.35,54.48,1,6.7,194271
2018,12,Avellaneda,17,Buenos Aires,44.0,91.26,22.84,59.09,3,56.0,367554
2018,12,LOMAS DE ZAMORA,38,Buenos Aires,44.0,91.26,22.84,59.09,1,89.0,690480
2018,12,La Matanza,35,Buenos Aires,44.0,73.2,22.11,51.31,3,327.0,1841247
2018,12,COMUNA 15,15,CABA,45.0,73.2,22.11,51.31,1,14.3,196876
2018,12,COMUNA 3,3,CABA,45.0,73.2,22.11,51.31,4,6.4,196240
2018,12,COMUNA 4,4,CABA,45.0,73.2,22.11,51.31,4,22.7,229240
2018,12,COMUNA 8,8,CABA,45.0,73.2,22.11,51.31,1,22.5,204367
2018,13,Avellaneda,17,Buenos Aires,57.0,118.09,20.82,64.27,5,56.0,367554
2018,13,Ezeiza,27,Buenos Aires,57.0,88.52,18.99,59.61,1,238.0,201511
2018,13,La Matanza,35,Buenos Aires,57.0,93.06,19.44,60.81,5,327.0,1841247
2018,13,COMUNA 12,12,CABA,45.0,93.06,19.44,60.81,1,15.7,236887
2018,13,COMUNA 3,3,CABA,45.0,93.06,19.44,60.81,1,6.4,196240
2018,13,COMUNA 4,4,CABA,45.0,93.06,19.44,60.81,5,22.7,229240
2018,13,COMUNA 6,6,CABA,45.0,93.06,19.44,60.81,1,6.9,203043
2018,14,Avellaneda,17,Buenos Aires,100.0,27.66,20.52,72.13,10,56.0,367554
2018,14,Berazategui,18,Buenos Aires,100.0,18.67,19.13,70.77,2,220.0,358712
2018,14,LOMAS DE ZAMORA,38,Buenos Aires,100.0,27.66,20.52,72.13,1,89.0,690480
2018,14,La Matanza,35,Buenos Aires,100.0,22.38,19.16,70.81,5,327.0,1841247
2018,14,La Plata,37,Buenos Aires,100.0,18.67,19.13,70.77,1,893.0,768547
2018,14,Lanús,36,Buenos Aires,100.0,27.66,20.52,72.13,2,50.0,461267
2018,14,MERLO,43,Buenos Aires,100.0,22.38,19.16,70.81,1,174.0,582486
2018,14,Vicente López,54,Buenos Aires,100.0,22.38,19.16,70.81,1,35.0,282280
2018,14,COMUNA 3,3,CABA,100.0,22.38,19.16,70.81,1,6.4,196240
2018,14,COMUNA 4,4,CABA,100.0,22.38,19.16,70.81,6,22.7,229240
2018,15,Avellaneda,17,Buenos Aires,89.0,44.52,21.41,76.98,6,56.0,367554
2018,15,LOMAS DE ZAMORA,38,Buenos Aires,89.0,44.52,21.41,76.98,2,89.0,690480
2018,15,La Matanza,35,Buenos Aires,89.0,51.37,20.36,76.0,1,327.0,1841247
2018,15,Lanús,36,Buenos Aires,89.0,44.52,21.41,76.98,2,50.0,461267
2018,15,Morón,44,Buenos Aires,89.0,51.37,20.36,76.0,1,55.0,331183
2018,15,Quilmes,47,Buenos Aires,89.0,50.36,20.11,76.76,1,92.0,633391
