year,week,departament_name,departament_id,province,trends_dengue,prec_2weeks,temp_2weeks_avg,humd_2weeks_avg,target_cases
2021,10,Berazategui,18,Buenos Aires,,,,,1
2021,10,COMUNA 6,6,CABA,,,,,1
2021,10,La Plata,37,Buenos Aires,,,,,1
2021,11,COMUNA 15,15,CABA,,,,,1
2021,12,General San Martín,31,Buenos Aires,,,,,1
2021,12,Presidente Perón,46,Buenos Aires,,,,,1
2021,13,Merlo,43,Buenos Aires,,,,,1
2021,14,Almirante Brown,16,Buenos Aires,,,,,1
2021,14,San Isidro,49,Buenos Aires,,,,,1
2021,15,Berazategui,18,Buenos Aires,,,,,1
2021,15,COMUNA 3,3,CABA,,,,,1
2021,15,Lomas de Zamora,38,Buenos Aires,,,,,1
